Country_code,LEI_Code,Bank_name,Period,Item,Scenario,Fact_char,Amount
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213713,1,,-4.01052174
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213714,1,,-57.80027472
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213715,1,,-0.07485432
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213716,1,,53.8646073
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213717,1,,-584.8695321
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213718,1,,-12.68320683
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213719,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213720,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213721,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213722,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213723,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213724,1,,-10.74839638
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213725,1,,-10.74839638
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213726,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213727,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213728,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213729,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213730,1,,-328.939621
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213731,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213732,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213733,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213734,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213735,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213736,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213737,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213738,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213739,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213740,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213741,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213742,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213743,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213744,1,,0
